fish,metric,y,baseline,recovery,drug,dose
1,mean_speed_dark_startle,0.00383227,1,0,0,2.5
2,mean_speed_dark_startle,0.00145068,1,0,0,2.5
3,mean_speed_dark_startle,0.00281302,1,0,0,2.5
4,mean_speed_dark_startle,0.00288077,1,0,0,2.5
5,mean_speed_dark_startle,0.0019076,1,0,0,2.5
6,mean_speed_dark_startle,0.00423099,1,0,0,2.5
7,mean_speed_dark_startle,0.00177319,1,0,0,2.5
8,mean_speed_dark_startle,0.00442567,1,0,0,2.5
9,mean_speed_dark_startle,0.00420565,1,0,0,2.5
10,mean_speed_dark_startle,0.0037218,1,0,0,2.5
11,mean_speed_dark_startle,0.00126387,1,0,0,2.5
12,mean_speed_dark_startle,0.00301867,1,0,0,2.5
13,mean_speed_dark_startle,0.00276407,1,0,0,2.5
14,mean_speed_dark_startle,0.00168182,1,0,0,2.5
15,mean_speed_dark_startle,0.00296897,1,0,0,2.5
16,mean_speed_dark_startle,0.00281712,1,0,0,2.5
17,mean_speed_dark_startle,0.00091006,1,0,0,2.5
18,mean_speed_dark_startle,0.00338279,1,0,0,2.5
19,mean_speed_dark_startle,0.00195331,1,0,0,2.5
20,mean_speed_dark_startle,0.00068183,1,0,0,2.5
1,diff_mean_speed_dark_startle_all,-0.00229906,1,0,0,2.5
2,diff_mean_speed_dark_startle_all,-0.00059734,1,0,0,2.5
3,diff_mean_speed_dark_startle_all,0.00430817,1,0,0,2.5
4,diff_mean_speed_dark_startle_all,0.00150555,1,0,0,2.5
5,diff_mean_speed_dark_startle_all,0.00132547,1,0,0,2.5
6,diff_mean_speed_dark_startle_all,0.00020417,1,0,0,2.5
7,diff_mean_speed_dark_startle_all,0.00080184,1,0,0,2.5
8,diff_mean_speed_dark_startle_all,0.00398349,1,0,0,2.5
9,diff_mean_speed_dark_startle_all,0.00130238,1,0,0,2.5
10,diff_mean_speed_dark_startle_all,-0.00112051,1,0,0,2.5
11,diff_mean_speed_dark_startle_all,-0.00104522,1,0,0,2.5
12,diff_mean_speed_dark_startle_all,0.00099337,1,0,0,2.5
13,diff_mean_speed_dark_startle_all,-0.00099447,1,0,0,2.5
14,diff_mean_speed_dark_startle_all,0.00013451,1,0,0,2.5
15,diff_mean_speed_dark_startle_all,-0.000698,1,0,0,2.5
16,diff_mean_speed_dark_startle_all,-0.00174009,1,0,0,2.5
17,diff_mean_speed_dark_startle_all,0.00020611,1,0,0,2.5
18,diff_mean_speed_dark_startle_all,0.00030864,1,0,0,2.5
19,diff_mean_speed_dark_startle_all,0.00106687,1,0,0,2.5
20,diff_mean_speed_dark_startle_all,-0.00021395,1,0,0,2.5
1,avg_latency_mean_speed_dark_startle_all,0.65324789,1,0,0,2.5
2,avg_latency_mean_speed_dark_startle_all,0.43327666,1,0,0,2.5
3,avg_latency_mean_speed_dark_startle_all,0.62658471,1,0,0,2.5
4,avg_latency_mean_speed_dark_startle_all,0.5132662,1,0,0,2.5
5,avg_latency_mean_speed_dark_startle_all,0.42994376,1,0,0,2.5
6,avg_latency_mean_speed_dark_startle_all,0.67324527,1,0,0,2.5
7,avg_latency_mean_speed_dark_startle_all,0.45327405,1,0,0,2.5
8,avg_latency_mean_speed_dark_startle_all,0.57325835,1,0,0,2.5
9,avg_latency_mean_speed_dark_startle_all,0.67991107,1,0,0,2.5
10,avg_latency_mean_speed_dark_startle_all,0.6332505,1,0,0,2.5
11,avg_latency_mean_speed_dark_startle_all,0.50326751,1,0,0,2.5
12,avg_latency_mean_speed_dark_startle_all,0.59992153,1,0,0,2.5
13,avg_latency_mean_speed_dark_startle_all,0.70324135,1,0,0,2.5
14,avg_latency_mean_speed_dark_startle_all,0.61325312,1,0,0,2.5
15,avg_latency_mean_speed_dark_startle_all,0.73323743,1,0,0,2.5
16,avg_latency_mean_speed_dark_startle_all,0.49993461,1,0,0,2.5
17,avg_latency_mean_speed_dark_startle_all,0.57992415,1,0,0,2.5
18,avg_latency_mean_speed_dark_startle_all,0.82655855,1,0,0,2.5
19,avg_latency_mean_speed_dark_startle_all,0.55659386,1,0,0,2.5
20,avg_latency_mean_speed_dark_startle_all,0.54659517,1,0,0,2.5
1,mean_speed_dark_startle,0.00263897,1,0,0,0.05
2,mean_speed_dark_startle,0.0017949,1,0,0,0.05
3,mean_speed_dark_startle,0.00180248,1,0,0,0.05
4,mean_speed_dark_startle,0.00196253,1,0,0,0.05
5,mean_speed_dark_startle,0.00182451,1,0,0,0.05
6,mean_speed_dark_startle,0.00173577,1,0,0,0.05
7,mean_speed_dark_startle,0.00303662,1,0,0,0.05
8,mean_speed_dark_startle,0.0014927,1,0,0,0.05
9,mean_speed_dark_startle,0.00077449,1,0,0,0.05
10,mean_speed_dark_startle,0.00278687,1,0,0,0.05
11,mean_speed_dark_startle,0.00090315,1,0,0,0.05
12,mean_speed_dark_startle,0.00338941,1,0,0,0.05
13,mean_speed_dark_startle,0.0020043,1,0,0,0.05
14,mean_speed_dark_startle,0.00154692,1,0,0,0.05
15,mean_speed_dark_startle,0.00212346,1,0,0,0.05
16,mean_speed_dark_startle,0.00269934,1,0,0,0.05
17,mean_speed_dark_startle,0.00153004,1,0,0,0.05
18,mean_speed_dark_startle,0.0017062,1,0,0,0.05
19,mean_speed_dark_startle,0.00381669,1,0,0,0.05
20,mean_speed_dark_startle,0.00102588,1,0,0,0.05
1,diff_mean_speed_dark_startle_all,-0.00213072,1,0,0,0.05
2,diff_mean_speed_dark_startle_all,-0.00204399,1,0,0,0.05
3,diff_mean_speed_dark_startle_all,0.00110602,1,0,0,0.05
4,diff_mean_speed_dark_startle_all,0.00157152,1,0,0,0.05
5,diff_mean_speed_dark_startle_all,-0.00224899,1,0,0,0.05
6,diff_mean_speed_dark_startle_all,-0.0017055,1,0,0,0.05
7,diff_mean_speed_dark_startle_all,0.00080992,1,0,0,0.05
8,diff_mean_speed_dark_startle_all,-0.00222806,1,0,0,0.05
9,diff_mean_speed_dark_startle_all,9.413e-05,1,0,0,0.05
10,diff_mean_speed_dark_startle_all,0.00187489,1,0,0,0.05
11,diff_mean_speed_dark_startle_all,-5.135e-05,1,0,0,0.05
12,diff_mean_speed_dark_startle_all,-0.00483205,1,0,0,0.05
13,diff_mean_speed_dark_startle_all,-0.00106397,1,0,0,0.05
14,diff_mean_speed_dark_startle_all,-2.786e-05,1,0,0,0.05
15,diff_mean_speed_dark_startle_all,-0.00131413,1,0,0,0.05
16,diff_mean_speed_dark_startle_all,0.00123669,1,0,0,0.05
17,diff_mean_speed_dark_startle_all,0.00066607,1,0,0,0.05
18,diff_mean_speed_dark_startle_all,-1.3e-05,1,0,0,0.05
19,diff_mean_speed_dark_startle_all,0.00276086,1,0,0,0.05
20,diff_mean_speed_dark_startle_all,-0.00231355,1,0,0,0.05
1,avg_latency_mean_speed_dark_startle_all,0.47327143,1,0,0,0.05
2,avg_latency_mean_speed_dark_startle_all,0.6365834,1,0,0,0.05
3,avg_latency_mean_speed_dark_startle_all,0.7632335,1,0,0,0.05
4,avg_latency_mean_speed_dark_startle_all,0.47327143,1,0,0,0.05
5,avg_latency_mean_speed_dark_startle_all,0.52993069,1,0,0,0.05
6,avg_latency_mean_speed_dark_startle_all,0.5132662,1,0,0,0.05
7,avg_latency_mean_speed_dark_startle_all,0.51993199,1,0,0,0.05
8,avg_latency_mean_speed_dark_startle_all,0.60658733,1,0,0,0.05
9,avg_latency_mean_speed_dark_startle_all,0.46993853,1,0,0,0.05
10,avg_latency_mean_speed_dark_startle_all,0.47660433,1,0,0,0.05
11,avg_latency_mean_speed_dark_startle_all,0.5066004,1,0,0,0.05
12,avg_latency_mean_speed_dark_startle_all,0.72657163,1,0,0,0.05
13,avg_latency_mean_speed_dark_startle_all,0.6399163,1,0,0,0.05
14,avg_latency_mean_speed_dark_startle_all,0.61325312,1,0,0,0.05
15,avg_latency_mean_speed_dark_startle_all,0.55326097,1,0,0,0.05
16,avg_latency_mean_speed_dark_startle_all,0.44994115,1,0,0,0.05
17,avg_latency_mean_speed_dark_startle_all,0.42327797,1,0,0,0.05
18,avg_latency_mean_speed_dark_startle_all,0.32329105,1,0,0,0.05
19,avg_latency_mean_speed_dark_startle_all,0.70990714,1,0,0,0.05
20,avg_latency_mean_speed_dark_startle_all,0.53659648,1,0,0,0.05
