fish,metric,y,dose,condition
101,max_speed_light_epoch_1,0.01089022,50.0,baseline
101,max_speed_light_epoch_2,0.10825823,50.0,baseline
101,max_speed_light_epoch_3,0.07772118,50.0,baseline
102,max_speed_light_epoch_1,0.01688958,50.0,baseline
102,max_speed_light_epoch_2,0.12779449,50.0,baseline
102,max_speed_light_epoch_3,0.01672817,50.0,baseline
103,max_speed_light_epoch_1,0.01613631,50.0,baseline
103,max_speed_light_epoch_2,0.00855084,50.0,baseline
103,max_speed_light_epoch_3,0.01521841,50.0,baseline
104,max_speed_light_epoch_1,0.07765262,50.0,baseline
104,max_speed_light_epoch_2,0.03312065,50.0,baseline
104,max_speed_light_epoch_3,0.04104657,50.0,baseline
105,max_speed_light_epoch_1,0.06090703,50.0,baseline
105,max_speed_light_epoch_2,0.00570631,50.0,baseline
105,max_speed_light_epoch_3,0.08668268,50.0,baseline
106,max_speed_light_epoch_1,0.04113959,50.0,baseline
106,max_speed_light_epoch_2,0.00363309,50.0,baseline
106,max_speed_light_epoch_3,0.01831828,50.0,baseline
107,max_speed_light_epoch_1,0.15684445,50.0,baseline
107,max_speed_light_epoch_2,0.1254907,50.0,baseline
107,max_speed_light_epoch_3,0.04175681,50.0,baseline
108,max_speed_light_epoch_1,0.1230563,50.0,baseline
108,max_speed_light_epoch_2,0.04633984,50.0,baseline
108,max_speed_light_epoch_3,0.00345926,50.0,baseline
109,max_speed_light_epoch_1,0.02018244,50.0,baseline
109,max_speed_light_epoch_2,0.02237975,50.0,baseline
109,max_speed_light_epoch_3,0.00274987,50.0,baseline
110,max_speed_light_epoch_1,0.09931175,50.0,baseline
110,max_speed_light_epoch_2,0.06687349,50.0,baseline
110,max_speed_light_epoch_3,0.03568266,50.0,baseline
111,max_speed_light_epoch_1,0.08588415,50.0,baseline
111,max_speed_light_epoch_2,0.13664156,50.0,baseline
111,max_speed_light_epoch_3,0.00845485,50.0,baseline
112,max_speed_light_epoch_1,0.00370494,50.0,baseline
112,max_speed_light_epoch_2,0.0033303,50.0,baseline
112,max_speed_light_epoch_3,0.00848659,50.0,baseline
113,max_speed_light_epoch_1,0.01409003,50.0,baseline
113,max_speed_light_epoch_2,0.00639092,50.0,baseline
113,max_speed_light_epoch_3,0.00397615,50.0,baseline
114,max_speed_light_epoch_1,0.01500621,50.0,baseline
114,max_speed_light_epoch_2,0.02312062,50.0,baseline
114,max_speed_light_epoch_3,0.0136166,50.0,baseline
115,max_speed_light_epoch_1,0.03421798,50.0,baseline
115,max_speed_light_epoch_2,0.0294435,50.0,baseline
115,max_speed_light_epoch_3,0.04183134,50.0,baseline
116,max_speed_light_epoch_1,0.02775556,50.0,baseline
116,max_speed_light_epoch_2,0.00270491,50.0,baseline
116,max_speed_light_epoch_3,0.00354237,50.0,baseline
117,max_speed_light_epoch_1,0.01606333,50.0,baseline
117,max_speed_light_epoch_2,0.05401167,50.0,baseline
117,max_speed_light_epoch_3,0.00415271,50.0,baseline
118,max_speed_light_epoch_1,0.00407039,50.0,baseline
118,max_speed_light_epoch_2,0.14622256,50.0,baseline
