fish,metric,y,baseline,recovery,drug,dose
21,max_distance_light_epoch_1,0.00085038,0,0,1,0.05
21,max_distance_light_epoch_2,0.00295148,0,0,1,0.05
21,max_distance_light_epoch_3,0.00178242,0,0,1,0.05
22,max_distance_light_epoch_1,0.00246868,0,0,1,0.05
22,max_distance_light_epoch_2,0.0024107,0,0,1,0.05
22,max_distance_light_epoch_3,0.00238027,0,0,1,0.05
23,max_distance_light_epoch_1,0.00030131,0,0,1,0.05
23,max_distance_light_epoch_2,9.303e-05,0,0,1,0.05
23,max_distance_light_epoch_3,0.00016783,0,0,1,0.05
24,max_distance_light_epoch_1,0.00021393,0,0,1,0.05
24,max_distance_light_epoch_2,0.00106351,0,0,1,0.05
24,max_distance_light_epoch_3,0.00096422,0,0,1,0.05
25,max_distance_light_epoch_1,0.00010055,0,0,1,0.05
25,max_distance_light_epoch_2,0.00067395,0,0,1,0.05
25,max_distance_light_epoch_3,0.0001199,0,0,1,0.05
26,max_distance_light_epoch_1,0.00010395,0,0,1,0.05
26,max_distance_light_epoch_2,0.00204066,0,0,1,0.05
26,max_distance_light_epoch_3,0.00011114,0,0,1,0.05
27,max_distance_light_epoch_1,0.00057578,0,0,1,0.05
27,max_distance_light_epoch_2,0.00619784,0,0,1,0.05
27,max_distance_light_epoch_3,0.00234547,0,0,1,0.05
28,max_distance_light_epoch_1,0.00309581,0,0,1,0.05
28,max_distance_light_epoch_2,0.00098109,0,0,1,0.05
28,max_distance_light_epoch_3,0.00810236,0,0,1,0.05
29,max_distance_light_epoch_1,0.00046309,0,0,1,0.05
29,max_distance_light_epoch_2,8.821e-05,0,0,1,0.05
29,max_distance_light_epoch_3,0.00014308,0,0,1,0.05
30,max_distance_light_epoch_1,0.00048664,0,0,1,0.05
30,max_distance_light_epoch_2,0.00055022,0,0,1,0.05
30,max_distance_light_epoch_3,0.00024988,0,0,1,0.05
31,max_distance_light_epoch_1,9.944e-05,0,0,1,0.05
31,max_distance_light_epoch_2,8.368e-05,0,0,1,0.05
31,max_distance_light_epoch_3,0.00015996,0,0,1,0.05
32,max_distance_light_epoch_1,0.00038488,0,0,1,0.05
32,max_distance_light_epoch_2,0.00097245,0,0,1,0.05
32,max_distance_light_epoch_3,9.911e-05,0,0,1,0.05
33,max_distance_light_epoch_1,0.00011103,0,0,1,0.05
33,max_distance_light_epoch_2,0.00070375,0,0,1,0.05
