fish,metric,y,dose,condition
61,max_speed_light_epoch_1,0.09135563,2.5,recovery
61,max_speed_light_epoch_2,0.17985792,2.5,recovery
61,max_speed_light_epoch_3,0.02921946,2.5,recovery
62,max_speed_light_epoch_1,0.10581742,2.5,recovery
62,max_speed_light_epoch_2,0.09558757,2.5,recovery
62,max_speed_light_epoch_3,0.03247433,2.5,recovery
63,max_speed_light_epoch_1,0.033995,2.5,recovery
63,max_speed_light_epoch_2,0.02426717,2.5,recovery
63,max_speed_light_epoch_3,0.05025487,2.5,recovery
64,max_speed_light_epoch_1,0.07113103,2.5,recovery
64,max_speed_light_epoch_2,0.02832561,2.5,recovery
64,max_speed_light_epoch_3,0.04971928,2.5,recovery
65,max_speed_light_epoch_1,0.13003895,2.5,recovery
65,max_speed_light_epoch_2,0.02582439,2.5,recovery
65,max_speed_light_epoch_3,0.01840113,2.5,recovery
66,max_speed_light_epoch_1,0.05337992,2.5,recovery
66,max_speed_light_epoch_2,0.09178849,2.5,recovery
66,max_speed_light_epoch_3,0.10434975,2.5,recovery
67,max_speed_light_epoch_1,0.02760374,2.5,recovery
67,max_speed_light_epoch_2,0.04331464,2.5,recovery
67,max_speed_light_epoch_3,0.02198268,2.5,recovery
69,max_speed_light_epoch_1,0.10617194,2.5,recovery
69,max_speed_light_epoch_2,0.05738482,2.5,recovery
69,max_speed_light_epoch_3,0.03106182,2.5,recovery
70,max_speed_light_epoch_1,0.02543072,2.5,recovery
70,max_speed_light_epoch_2,0.05815733,2.5,recovery
70,max_speed_light_epoch_3,0.14686634,2.5,recovery
71,max_speed_light_epoch_1,0.04616808,2.5,recovery
71,max_speed_light_epoch_2,0.06324103,2.5,recovery
71,max_speed_light_epoch_3,0.08267813,2.5,recovery
72,max_speed_light_epoch_1,0.07060621,2.5,recovery
72,max_speed_light_epoch_2,0.0755235,2.5,recovery
72,max_speed_light_epoch_3,0.12026691,2.5,recovery
73,max_speed_light_epoch_1,0.02032889,2.5,recovery
73,max_speed_light_epoch_2,0.00282246,2.5,recovery
73,max_speed_light_epoch_3,0.06181388,2.5,recovery
74,max_speed_light_epoch_1,0.00392179,2.5,recovery
74,max_speed_light_epoch_2,0.00320118,2.5,recovery
74,max_speed_light_epoch_3,0.0038763,2.5,recovery
75,max_speed_light_epoch_1,0.01242219,2.5,recovery
75,max_speed_light_epoch_2,0.00336519,2.5,recovery
75,max_speed_light_epoch_3,0.00383295,2.5,recovery
76,max_speed_light_epoch_1,0.0595151,2.5,recovery
76,max_speed_light_epoch_2,0.00985907,2.5,recovery
76,max_speed_light_epoch_3,0.01940583,2.5,recovery
77,max_speed_light_epoch_1,0.01713269,2.5,recovery
77,max_speed_light_epoch_2,0.07141896,2.5,recovery
